377,Netflix,9570 Ford City,Buffalo,14217,New York,765 406 6513
977,United States Steel Corporation,6072 Eleanor,Anchorage,99107,Alaska,216 704 2755
252,Ameren Corporation,8902 Fair,Columbus,31930,Georgia,228 667 2012
820,Johnson Controls,5653 Burnside,Kansas City,66433,Missouri,857 938 0061
810,Cms Energy,4803 High Bridge,Fremont,94544,California,404 696 4247
983,Xcel Energy,2205 Fern,Hollywood,33059,Florida,254 928 8622
140,Ak Steel Corporation,598 Minnehaha,Boston,02918,Massachusetts,646 693 7755
533,Pfizerorporated,1721 Fifth,Indianapolis,46150,Indiana,850 578 3798
191,Mantech International Corporation,9194 85th,Omaha,68339 ,Nebraska,580 812 8739
955,Manpowergroup,7173 101st,Lincoln,68651 ,Nebraska,785 914 6926
646,Unisys Corporation,922 Brainard,New York,10631,New York,479 915 4196
195,Carter"s,6476 125th,Austin,78822,Texas,570 644 8134
548,Wells Fargo & Company,5309 Greenview,Wichita,67781,Kansas,309 266 0254
187,Gilead Sciences,9437 Charles,Savannah,31395,Georgia,707 340 2387
372,Weis Markets,2318 Portland,Fort Collins,80565,Colorado,203 459 6705
487,U.s. Bancorp,6702 Glenlake,Madison,53707,Wisconsin,432 956 9176
143,Chevron Corp,6171 Dante,Omaha,68709 ,Nebraska,781 303 3043
130,Idt Corporation,2121 Mcalpin,Allentown,18155,Pennsylvania,213 309 3312
413,Cms Energy,7358 Field,Huntsville,35894,Alabama,316 124 6810
137,Adams Resources & Energy,3069 Columbus Sub,Virginia Beach,23361,Virginia,915 905 8734
552,Windstream Corporation,9747 113th,Salt Lake City,84009,Utah,314 812 2988
144,Questar Corporation,9985 Sanford,New Orleans,70753,Louisiana,254 982 5079
804,Stanley Black & Decker,4308 Ellis,Kansas City,66351,Missouri,989 458 6598
365,Pinnacle Foods Group ,6011 Kennedy Ib,Winston-salem,27178,North Carolina,720 445 6821
179,Illinois Tool Works,9751 Ridgewood,Chandler,85283,Arizona,708 371 8746
827,Ralph Lauren Corporation,291 Dobson,Lubbock,79125,Texas,316 411 8680
249,Nvidia Corporation,9049 Root,Reno,89517,Nevada,336 114 1128
449,Marathon Oil Corporation,7737 Homer,Chandler,85220,Arizona,952 703 1326
676,Snap-on Tools,6323 Cheltenham,Atlanta,30292,Georgia,862 341 6544
987,Celgene Corporation,5812 Carroll,Naperville,60418,Illinois,253 788 8933
363,Crosstex Energy,9919 Eisenhower Ib Dan Ryan Ob,Henderson,89030,Nevada,914 330 9106
857,Johnson And Johnson,9861 Bishop,San Diego,92201,California,980 454 9478
37,Hormel Foods Corporation,6072 Lambert,Overland Park,66276,Kansas,740 952 3182
804,Briggs & Stratton Corporation,8389 Carver,Portland,97620,Oregon,772 780 1208
